"WT1","WT2","WT3","NEG1","NEG2","NEG3","pos","Potential.contaminant","Reverse","ids"
1848000,0,0,1759800,0,0,FALSE,"","","P6580271"
4423700,1104100,0,0,1244200,2618500,FALSE,"","","P0351268"
7858600,0,0,2636500,0,0,FALSE,"","","P5039421"
36643000,20060000,29084000,43729000,15797000,38656000,FALSE,"","","P3907518"
22753000,6882900,24894000,12333000,3742400,7024900,FALSE,"","","P2063174"
0,0,1514200,0,0,0,FALSE,"","","P5432607"
1929500,0,0,1309600,0,0,FALSE,"","","P1284053"
6119700,3681900,1407500,5197900,2080400,1708500,FALSE,"","","P2618359"
0,5757100,1635800,7621100,2043000,3783200,FALSE,"","","P0476389"
0,0,0,0,410990,0,FALSE,"","","P5738041"
3089100,0,2560800,7893500,3449300,597820,FALSE,"","","P9325461"
6711700,0,0,4910400,0,2522100,FALSE,"","","P0341956"
11976000,0,0,9264100,6788000,1090000,FALSE,"","","P0257491"
244900000,180550000,120480000,288310000,136090000,163320000,FALSE,"","","P1934780"
298920000,64514000,29674000,210710000,67337000,48914000,FALSE,"","","P9563287"
203250000,81743000,30003000,131860000,71090000,92758000,FALSE,"","","P0519864"
0,0,0,0,0,3651800,FALSE,"","","P5974083"
3946800,2808300,1440100,4591500,4163800,6400300,FALSE,"","","P0158639"
66930000,11157000,5755700,28402000,6785300,8761300,FALSE,"","","P8561920"
0,484420,0,0,676700,2643300,FALSE,"","","P8370259"
14925000,20831000,24576000,49553000,20081000,13926000,FALSE,"","","P4326809"
1156700,5386300,7005400,7286000,2452100,3548800,FALSE,"","","P7634280"
3030400,4781500,0,10219000,876950,790140,FALSE,"","","P3049856"
0,14238000,10107000,0,0,0,FALSE,"","","P1653097"
18971000,4185700,0,11942000,2441900,5530000,FALSE,"","","P2934170"
180310000,16021000,33668000,130200000,47139000,66409000,FALSE,"","","P4601953"
0,0,845290,7974600,0,3729400,FALSE,"","","P8925367"
7981700,53821000,75453000,30782000,33868000,41390000,FALSE,"","","P6018539"
15286000,4048400,2659800,9545900,1857400,1810200,FALSE,"","","P3689054"
71315000,18994000,34290000,49982000,26530000,17216000,FALSE,"","","P3725081"
1190300,623920,0,1153300,365310,0,FALSE,"","","P3580916"
14365000,3742500,2273800,8032200,3317700,4730900,FALSE,"","","P7934015"
0,773990,611710,0,0,0,FALSE,"","","P5087396"
1337600,0,0,1071700,0,0,FALSE,"","","P6789453"
0,0,0,40506000,0,0,FALSE,"","","P2903156"
13520000,7033000,13815000,13179000,46997000,355810000,FALSE,"","","P1684259"
0,0,0,1159600,0,0,FALSE,"","","P4593762"
0,0,3244800,0,419830,718510,FALSE,"","","P8104532"
6227800,11382000,12101000,11692000,7916200,14016000,FALSE,"","","P0842917"
0,1780200,0,0,0,954980,FALSE,"","","P3450126"
0,1994500,0,0,2053000,5145000,FALSE,"","","P7406895"
66237000,4754000,6961100,53805000,14470000,22428000,FALSE,"","","P0418963"
2949600,0,0,4222100,0,0,FALSE,"","","P8142935"
8461100,18754000,21980000,58854000,23931000,16945000,FALSE,"","","P5760348"
5868900,307120,479090,2807700,859210,3504800,FALSE,"","","P9520478"
20933000,9707800,11944000,25818000,14017000,5592100,FALSE,"","","P4508972"
1239000,3491600,5631900,2323900,2821700,3580500,FALSE,"","","P7619240"
0,0,4654000,5183300,10911000,79924000,FALSE,"","","P4271698"
1980100,764210,6206500,0,0,861660,FALSE,"","","P9150276"
1093400000,2018400000,306110000,3714800000,355190000,1242200000,FALSE,"","","P3658219"
106310000,215600000,254840000,457400000,197980000,249770000,FALSE,"","","P9128345"
0,597660,0,0,0,793770,FALSE,"","","P5731846"
0,0,0,593370,0,0,FALSE,"","","P0756249"
0,0,0,0,0,14339000,FALSE,"","","P4570862"
1428900,682430,0,2647300,0,0,FALSE,"","","P8146327"
2255500,0,0,1324200,0,0,FALSE,"","","P0491653"
5068300,0,0,0,0,0,FALSE,"","","P9824731"
